Rank,Player,Position,PositionDetail,RAV,MarketValue,Club,Age,Nationality,TransfermarktID
1,Chencho Gyeltshen,Forward,LW,11.63,€150k,Thimphu FC,30,Bhutan,364437
2,Orgyen Wangchuk Tshering,Midfielder,AM,10.54,€100k,Bangladesh Police FC,26,Bhutan,498091
3,Tenzin Norbu,Defender,CB,9.77,€75k,Balga SC,25,Bhutan,796620
4,Dawa Tshering,Forward,LW,9.61,€75k,Fortis FC,27,Bhutan,564150
5,Yeshi Gyeltshen,Defender,CB,8.8,€50k,Royal Thimphu College,24,Bhutan,1312357
6,Nima Wangdi,Forward,RW,8.61,€50k,Paro FC,27,Bhutan,498085
7,Tshering Dendup,Goalkeeper,GK,8.38,€50k,Thimphu City FC,34,Bhutan,364539
8,Jampel Dorji,Goalkeeper,GK,7.5,€25k,Canberra FC,21,Bhutan,1471566
9,Thinley Yezer,Forward,RW,7.48,€25k,BFF Academy FC,18,Bhutan,1400237
10,Jetsuen Dorji,Midfielder,CM,7.48,€25k,Thimphu City FC,19,Bhutan,1248002
11,Bikash Pradhan,Defender,CB,7.48,€25k,Transport United,22,Bhutan,1059953
12,Jigman Seltob Dorji,Midfielder,CM,7.48,€25k,Thimphu City FC,20,Bhutan,1248036
13,Sherub Dorji,Defender,LB,7.47,€25k,Bangladesh Police FC,24,Bhutan,870200
14,Karma Chetrim,Defender,CB,7.47,€25k,Paro FC,23,Bhutan,967785
15,Pema Zangpo,Midfielder,AM,7.47,€25k,Yarmanya United,21,Bhutan,1123688
16,Kinzang Tenzin,Forward,CF,7.47,€25k,Royal Thimphu College,21,Bhutan,1123689
17,Tshelthrim Namgyel,Midfielder,CM,7.47,€25k,Paro FC,24,Bhutan,738627
18,Kinga Wangchuk,Forward,LW,7.47,€25k,Paro FC,23,Bhutan,668470
19,Gyeltshen Zangpo,Goalkeeper,GK,7.33,€25k,Paro FC,28,Bhutan,678139
20,Kinley Penjor,Defender,CB,7.27,€25k,Thimphu City FC,29,Bhutan,563536
21,Sonam Phuntsho,Defender,CB,7.23,€25k,Tensung FC,30,Bhutan,364518
22,Jigme Tshultrim,Defender,CB,7.15,€25k,Royal Thimphu College,33,Bhutan,876014
23,Sangay Yoezer,Defender,RB,6.39,€10k,PWD SC (Dhaka),19,Bhutan,1402483
24,Jigme Namgyel,Forward,ST,6.38,€10k,Royal Thimphu College,19,Bhutan,1320456
R1,Kinzang Tashi Tobden,Defender,CB,6.38,€10k,Thimphu City FC,21,Bhutan,1320540
R2,Kezang Dorji,Defender,RB,6.38,€10k,Paro FC,24,Bhutan,993519
R3,Nima Gyeltshen,Defender,RB,6.38,€10k,Royal Thimphu College,23,Bhutan,1010262
R4,Tobgay,Goalkeeper,GK,6.31,€10k,Transport United,27,Bhutan,69551
