Rank,Player,Position,PositionDetail,RAV,MarketValue,Club,Age,Nationality,TransfermarktID
1,Hakeme Yazid Said,Forward,LW,12.74,€175k,Brunei DPMM FC,23,Brunei Darussalam,691134
2,Haimie Nyaring,Goalkeeper,GK,11.31,€125k,Brunei DPMM FC,28,Brunei Darussalam,577165
3,Faiq Bolkiah,Forward,LW,10.39,€100k,Ratchaburi FC,28,Brunei Darussalam,331725
4,Yura Indera Putera,Defender,CB,10.28,€100k,Brunei DPMM FC,30,Brunei Darussalam,432589
5,Nazry Aiman,Defender,RB,8.8,€50k,Brunei DPMM FC,22,Brunei Darussalam,1004585
6,Syafiq Safiuddin Shariff,Defender,RB,8.8,€50k,Brunei DPMM FC,23,Brunei Darussalam,1003814
7,Abdul Hariz,Midfielder,CM,8.72,€50k,Brunei DPMM FC,25,Brunei Darussalam,577168
8,Hanif Farhan Azman,Midfielder,CM,8.72,€50k,Brunei DPMM FC,25,Brunei Darussalam,746315
9,Nazirrudin Ismail,Forward,LW,8.61,€50k,Brunei DPMM FC,27,Brunei Darussalam,677778
10,Nur Ikhwan Othman,Defender,CB,8.38,€50k,Brunei DPMM FC,33,Brunei Darussalam,432588
11,Azwan Ali Rahman,Midfielder,CM,8.33,€50k,Brunei DPMM FC,34,Brunei Darussalam,274036
12,Hibatur Rahman,Defender,LB,7.39,€25k,MS ABDB FC,26,Brunei Darussalam,1415274
13,Faturrahman Embran,Forward,RW,7.38,€25k,Brunei DPMM FC,26,Brunei Darussalam,1246889
14,Haziq Kasyful,Forward,RW,7.34,€25k,Kasuka FC,27,Brunei Darussalam,1063963
15,Ishyra Asmin,Goalkeeper,GK,7.33,€25k,Brunei DPMM FC,28,Brunei Darussalam,677787
16,Amin Sisa,Midfielder,CM,7.31,€25k,Indera SC,28,Brunei Darussalam,677786
17,Hanif Hamir,Defender,CB,7.27,€25k,Brunei DPMM FC,29,Brunei Darussalam,501132
18,Hariz Danial,Forward,CF,7.26,€25k,Brunei DPMM FC,29,Brunei Darussalam,677788
19,Abdul Azim Rasid,Forward,CF,7.22,€25k,MS PPDB FC,30,Brunei Darussalam,1552313
20,Khairil Shahme Suhaimi,Midfielder,DM,7.15,€25k,Kasuka FC,33,Brunei Darussalam,677789
21,Abdul Mu'iz Sisa,Defender,LB,7.1,€25k,Kasuka FC,35,Brunei Darussalam,364268
22,Adi Said,Forward,CF,7.06,€25k,Kasuka FC,36,Brunei Darussalam,222421
23,Jefri Syafiq,Goalkeeper,GK,6.39,€10k,Kasuka FC,24,Brunei Darussalam,1063962
24,Haziq Syamra,Midfielder,RM,6.38,€10k,Kasuka FC,22,Brunei Darussalam,1029078
25,Wafi Aminuddin,Defender,CB,6.36,€10k,Kasuka FC,25,Brunei Darussalam,677781
26,Alinur Rashimy Jufri,Midfielder,LM,6.33,€10k,Kasuka FC,26,Brunei Darussalam,999187
R1,Nur Asyraffahmi Norsamri,Forward,RW,6.33,€10k,Kasuka FC,26,Brunei Darussalam,677780
R2,Abdul Ramli,Midfielder,RM,6.31,€10k,MS PPDB FC,27,Brunei Darussalam,1003813
R3,Martin Haddy,Defender,RB,6.28,€10k,Brunei DPMM FC,28,Brunei Darussalam,1076536
R4,Afi Aminuddin,Defender,CB,6.16,€10k,Kasuka FC,34,Brunei Darussalam,364423
R5,Najib Tarif,Defender,LB,6.09,€10k,Brunei DPMM FC,38,Brunei Darussalam,222425
