Rank,Player,Position,PositionDetail,RAV,MarketValue,Club,Age,Nationality,TransfermarktID
1,Tjay De Barr,Forward,CF,13.7,€225k,Lincoln Red Imps FC,26,Gibraltar,376663
2,Bradley Banda,Goalkeeper,GK,12.69,€175k,St Joseph's FC,28,Gibraltar,299108
3,Ethan Jolley,Defender,RB,11.81,€150k,St Joseph's FC,29,Gibraltar,299132
4,Dan Bent,Midfielder,DM,11.65,€150k,Larne FC,30,Gibraltar,697002
5,Jaylan Hankins,Goalkeeper,GK,11.54,€125k,Lincoln Red Imps FC,25,Gibraltar,405559
6,Ayoub El Hmidi,Forward,LW,11.36,€125k,Jubbah Club,25,Gibraltar,466168
7,Ethan Santos,Defender,CB,11.27,€125k,St Joseph's FC,27,Gibraltar,454623
8,Jayce Olivero,Defender,LB,11.2,€125k,St Joseph's FC,28,Gibraltar,299139
9,Jaron Vinet,Forward,RW,11.14,€125k,Europa FC,28,Gibraltar,484749
10,Bernardo Lopes,Defender,CB,11.05,€125k,Lincoln Red Imps FC,32,Gibraltar,344827
11,Christian Lopez,Goalkeeper,GK,10.74,€100k,Europa FC,25,Gibraltar,431298
12,Nicholas Pozo,Midfielder,CM,10.72,€100k,Lincoln Red Imps FC,21,Gibraltar,915890
13,Kye Livingstone,Midfielder,RM,10.69,€100k,Lions Gibraltar FC,23,Gibraltar,697691
14,Evan De Haro,Midfielder,DM,10.69,€100k,Lions Gibraltar FC,23,Gibraltar,540127
15,Ethan Britto,Defender,LB,10.65,€100k,Lincoln Red Imps FC,25,Gibraltar,340906
16,Ethan Llambias,Defender,CB,10.65,€100k,Mons Calpe SC,25,Gibraltar,405498
17,Kian Ronan,Defender,RB,10.65,€100k,Chelmsford City,25,Gibraltar,427588
18,Louie Annesley,Defender,CB,10.58,€100k,Dorking Wanderers,26,Gibraltar,405563
19,Ben Seaton,Midfielder,AM,10.4,€100k,Lions Gibraltar FC,28,England,1185359
20,Angelo Parody,Defender,LB,9.89,€75k,FC Bruno's Magpies,19,Gibraltar,1024392
21,Leon Mason,Midfielder,AM,9.86,€75k,Mons Calpe SC,19,Gibraltar,1004914
22,James Scanlon,Forward,LW,9.86,€75k,Swindon Town,19,Gibraltar,1051146
23,Frankie Perry,Midfielder,DM,9.84,€75k,St Joseph's FC,21,England,1054761
24,Michael Ruiz,Midfielder,RM,9.75,€75k,Lynx FC,25,Gibraltar,431451
25,Adam Gracia,Forward,CF,9.74,€75k,Mons Calpe SC,25,Gibraltar,488690
26,Graeme Torrilla,Midfielder,CM,9.55,€75k,Lincoln Red Imps FC,28,Gibraltar,399011
R1,Julian Britto,Defender,RB,9.85,€75k,FC Bruno's Magpies,22,Gibraltar,670374
R2,Shay Jones,Defender,RB,9.84,€75k,Europa FC,24,Gibraltar,540128
R3,Luke Bautista,Defender,LB,9.84,€75k,Lions Gibraltar FC,24,Gibraltar,608802
R4,Kevagn Ronco,Defender,RB,9.58,€75k,FC Bruno's Magpies,28,Gibraltar,299149
R5,Han Stevens,Midfielder,AM,9.84,€75k,FC Bruno's Magpies,21,Gibraltar,1014086
R6,Alain Pons,Defender,LB,9.43,€75k,St Joseph's FC,30,Gibraltar,299828
R7,Victor Huart,Goalkeeper,GK,8.88,€50k,Lynx FC,17,Gibraltar,1171238
R8,Adam Achhoud,Defender,CB,8.83,€50k,Europa Point FC,19,Gibraltar,1051150
R9,Tayler Carrington,Defender,CB,8.82,€50k,Mons Calpe SC,20,Gibraltar,942311
