Rank,Player,Position,PositionDetail,RAV,MarketValue,Club,Age,Nationality,TransfermarktID
1,Damoth Thongkhamsavath,Midfielder,CM,12.17,€150k,Dong A Thanh Hoa FC,22,Laos,998970
2,Bounphachan Bounkong,Midfielder,CM,12.07,€150k,Without Club,25,Laos,605154
3,Photthavong Sangvilay,Defender,LB,11.55,€125k,BG Pathum United,21,Laos,791825
4,Peeter Phanthavong,Forward,CF,11.51,€125k,Ezra FC,20,Laos,1000770
5,Anantaza Siphongphan,Defender,CB,10.76,€100k,Ezra FC,21,Laos,791826
6,Tee Sihalath,Forward,RW,10.68,€100k,Lao Army FC,24,Laos,771768
7,Kop Lokphathip,Goalkeeper,GK,9.94,€75k,Ezra FC,20,Laos,1016283
8,Solasak Thilavong,Goalkeeper,GK,9.91,€75k,Young Elephants,22,Laos,678257
9,Phetdavanh Somsanid,Defender,CB,9.85,€75k,Ezra FC,22,Laos,997802
10,Chanthavixay Khounthoumphone,Midfielder,DM,9.83,€75k,Ezra FC,22,Laos,961348
11,Anousone Xaypanya,Midfielder,AM,9.81,€75k,Young Elephants,23,Laos,791828
12,Chony Wenpaserth,Forward,LW,9.8,€75k,Ezra FC,23,Laos,780867
13,Kouaycheng Noophackde,Forward,RW,9.74,€75k,Champasak Avenir FC,25,Laos,876652
14,Kittisak Phomvongsa,Defender,CB,9.71,€75k,Young Elephants,26,Laos,605425
15,Kydavone Souvanny,Forward,LW,9.67,€75k,Young Elephants,26,Laos,583228
16,Phathana Phommathep,Forward,RW,9.61,€75k,Ezra FC,27,Laos,512908
17,Phetvixay Phimmasen,Defender,RB,8.81,€50k,Champasak Avenir FC,21,Laos,1110514
18,Phonsak Seesavath,Defender,LB,8.81,€50k,Young Elephants,21,Laos,1031422
19,Ketsada Detkhoummane,Midfielder,CM,8.81,€50k,GB Football Club,19,Laos,1110556
20,Xeedee Pomsavanh,Defender,RB,8.8,€50k,Ezra FC,24,Laos,778853
21,Sonevilay Phetviengsy,Midfielder,DM,8.79,€50k,GB Football Club,22,Laos,1026703
22,Khampane Douangvilay,Forward,LW,8.78,€50k,Salavan United,22,Laos,1025657
23,Phoutthalak Thongsanith,Midfielder,CM,8.78,€50k,Ezra FC,23,Laos,791824
24,Anoulak Vilaphonh,Goalkeeper,GK,8.78,€50k,GB Football Club,25,Laos,876615
25,Soukphachan Lueanthala,Forward,CF,8.77,€50k,Salavan United,23,Laos,792019
26,Somlith Sengvanny,Midfielder,CM,8.67,€50k,Lao Army FC,26,Laos,625365
R1,Sengdaovy Hanthavong,Defender,RB,8.63,€50k,Young Elephants,27,Laos,583231
R2,Aphixay Thanakhanty,Defender,CB,8.63,€50k,Young Elephants,27,Laos,605155
R3,Vanhkod Yangchaluen,Defender,LB,8.45,€50k,Lao Army FC,30,Laos,771759
R4,Phoutthasay Khochalern,Midfielder,CM,8.44,€50k,Ezra FC,30,Laos,348089
R5,Phoutdavy Phommasane,Midfielder,AM,8.39,€50k,Young Elephants,32,Laos,348118
R6,Surachat Sareepim,Forward,RW,8.12,€50k,BG Pathum United,40,Thailand,137348
R7,Ki Mounkunya,Defender,RB,7.5,€25k,GB Football Club,16,Laos,1361244
R8,Khammanh Thapaseut,Defender,CB,7.49,€25k,Ezra FC,18,Laos,1145168
R9,Okham Latsachack,Defender,CB,7.49,€25k,Lao Army FC,18,Laos,1322839
