Rank,Player,Position,PositionDetail,RAV,MarketValue,Club,Age,Nationality,TransfermarktID
1,Abdullah Iqbal,Defender,CB,32.28,€3.00m,Mjällby AIF,23,Pakistan,701224
2,Easah Suliman,Defender,CB,13.11,€200k,Sumgayit PFC,28,Pakistan,282820
3,Mohammad Fazal,Defender,LB,12.84,€175k,Nordic United FC,24,Pakistan,569653
4,Abdulrahman Sher Khan,Defender,LB,12.84,€175k,Al-Waab SC,24,Pakistan,883054
5,Haris Zeb,Forward,LW,12.67,€175k,South Island United FC,25,Pakistan,643887
6,Noor Rahman,Defender,CB,11.81,€150k,Al-Markhiya SC,29,Pakistan,633689
7,Shayak Dost,Forward,LW,11.44,€125k,Brothers Union,24,Pakistan,1028558
8,Alamgir Ghazi,Midfielder,CM,11.38,€125k,Brothers Union,25,Pakistan,1076787
9,Abdul Arshad,Forward,RW,10.67,€100k,Kolding IF,23,Pakistan,801988
10,Jahangir Khan,Defender,LB,10.65,€100k,North District,25,Hongkong,685390
11,Majed Abdullatif,Goalkeeper,GK,9.93,€75k,Muaither SC,21,Pakistan,1174363
12,Mohammad Hayan Khattak,Midfielder,CM,9.81,€75k,Brothers Union,23,Pakistan,1179918
13,Naveed,Forward,LW,9.67,€75k,Hong Kong Football Club,26,Hongkong,625322
14,Omer Rao,Defender,RB,9.51,€75k,Brothers Union,29,Pakistan,678876
15,Adam Khan,Goalkeeper,GK,8.86,€50k,Blackburn Rovers U21,20,Pakistan,1030109
16,Mohib Ullah,Defender,CB,8.81,€50k,Paro FC,21,Pakistan,1096510
17,Mamoon Moosa Khan,Defender,CB,8.8,€50k,Paro FC,24,Pakistan,1028564
18,Ali Uzair,Midfielder,DM,8.5,€50k,PWD SC (Dhaka),29,Pakistan,678918
19,Otis Khan,Forward,LW,8.43,€50k,Altrincham FC,30,Pakistan,318799
20,Adil Nabi,Midfielder,AM,8.39,€50k,Without Club,32,Pakistan,181554
21,Yousuf Butt,Goalkeeper,GK,8.32,€50k,Stallion Laguna FC,36,Pakistan,70551
22,Umar Nawaz,Forward,CF,7.49,€25k,Without Club,17,Pakistan,1129194
23,Ahmed Faraz Gulzari,Forward,LW,7.48,€25k,Melbourne Victory U21,19,Pakistan,1468298
24,Tufail Shinwari,Midfielder,AM,7.48,€25k,Karachi United,20,Pakistan,1450956
25,McKeal Abdullah,Forward,CF,7.47,€25k,Without Club,21,Pakistan,1091513
26,Harun Hamid,Midfielder,CM,7.47,€25k,Flota Swinoujscie,22,Pakistan,879396
R1,Junaid Shah,Defender,LB,8.8,€50k,Pakistan Navy FC,23,Pakistan,1076775
R2,Abdullah Shah,Defender,CB,8.74,€50k,Brothers Union,25,Pakistan,1076776
R3,Saoud Janan,Defender,CB,8.63,€50k,Al-Bidda SC,27,Pakistan,822963
R4,Hassan Ali,Goalkeeper,GK,7.49,€25k,WAPDA FC,23,Pakistan,1179915
R5,Ahmed Salman,Defender,RB,7.49,€25k,Shabab Al-Ahli Club Reserves,19,Pakistan,1451286
R6,Moin Ahmed,Forward,RW,7.47,€25k,Khan Research Laboratories FC,22,Pakistan,1141715
R7,Majid Janan,Defender,CB,7.35,€25k,Al-Waab SC,27,Pakistan,1264529
R8,Ali Agha Hazara,Midfielder,CM,7.27,€25k,Khan Research Laboratories FC,29,Pakistan,1531181
R9,Saqib Hanif,Goalkeeper,GK,7.19,€25k,New Radiant SC,32,Pakistan,366578
