Rank,Player,Position,PositionDetail,RAV,MarketValue,Club,Age,Nationality,TransfermarktID
1,Edoardo Colombo,Goalkeeper,GK,16.55,€350k,Gzira United FC,25,San Marino,463559
2,Nicola Nanni,Forward,CF,13.16,€200k,Arzignano Valchiampo,26,San Marino,401384
3,Mattia Sancisi,Defender,CB,10.72,€100k,Tre Fiori FC,23,San Marino,697863
4,Elia Ciacci,Midfielder,CM,10.69,€100k,AC Virtus Acquaviva,24,San Marino,658402
5,Federico Dolcini,Midfielder,CM,10.54,€100k,Tre Fiori FC,26,San Marino,471684
6,Alessandro D'Addario,Defender,RB,10.44,€100k,SP Tre Penne,28,San Marino,352625
7,Filippo Berardi,Forward,RW,10.32,€100k,SP Tre Penne,29,San Marino,355611
8,Manuel Battistini,Defender,RB,10.27,€100k,AC Virtus Acquaviva,31,San Marino,203598
9,Tommaso Benvenuti,Defender,LB,9.88,€75k,Lucchese Calcio,20,San Marino,949274
10,Filippo Fabbri,Defender,CB,9.84,€75k,Tropical Coriano,24,San Marino,616906
11,Samuel Pancotti,Forward,RW,9.74,€75k,SS Folgore/Falciano,25,San Marino,471680
12,Marcello Mularoni,Midfielder,CM,9.61,€75k,SS Cosmos,27,San Marino,342936
13,Andrea Grandoni,Defender,LB,9.51,€75k,La Fiorita 1967,29,San Marino,245983
14,Alessandro Golinucci,Midfielder,CM,9.39,€75k,AC Virtus Acquaviva,31,San Marino,228750
15,Mattia Ciacci,Defender,CB,8.82,€50k,San Marino Academy,20,San Marino,1052969
16,Giacomo Benvenuti,Defender,RB,8.82,€50k,Sassuolo Primavera,20,San Marino,949273
17,Enea Della Balda,Midfielder,DM,8.82,€50k,San Marino Academy,18,San Marino,1070926
18,Pietro Renzi,Midfielder,DM,8.8,€50k,San Marino Academy,21,San Marino,949271
19,Nicko Sensoli,Midfielder,AM,8.8,€50k,Tre Fiori FC,21,San Marino,949381
20,Simone Santi,Forward,CF,8.78,€50k,FC Domagnano,22,San Marino,719698
21,Davide Colonna,Goalkeeper,GK,8.78,€50k,AC Juvenes-Dogana,25,San Marino,401383
22,Mirco De Angelis,Goalkeeper,GK,8.72,€50k,SS Folgore/Falciano,26,San Marino,471469
23,Daniele Babboni,Forward,CF,8.66,€50k,FC Domagnano,26,San Marino,471470
24,Michele Cevoli,Defender,CB,8.63,€50k,Tropical Coriano,27,San Marino,342930
25,Pietro Sopranzi,Forward,LW,8.55,€50k,FC Domagnano,28,San Marino,342938
26,Jacopo Raschi,Forward,LW,8.55,€50k,SS Folgore/Falciano,28,San Marino,342948
R1,Filippo Santi,Defender,CB,8.74,€50k,SS Pennarossa,25,San Marino,471676
R2,Stefano Sartini,Defender,CB,8.68,€50k,AC Juvenes-Dogana,26,San Marino,471675
R3,Alberto Riccardi,Defender,LB,8.83,€50k,Tropical Coriano,19,San Marino,1005012
R4,Kevin Zonzini,Midfielder,CM,8.56,€50k,SC Faetano,28,San Marino,402638
R5,Simone Benedettini,Goalkeeper,GK,8.55,€50k,FC Fiorentino,29,San Marino,352610
R6,Riccardo Michelotti,Midfielder,CM,8.67,€50k,AC Libertas,26,San Marino,466928
R7,Andrea Dolcini,Midfielder,DM,8.78,€50k,FC Fiorentino,23,San Marino,702616
R8,Luca Censoni,Midfielder,DM,8.5,€50k,Tre Fiori FC,29,San Marino,245980
R9,Tommaso Zafferani,Midfielder,RM,8.44,€50k,La Fiorita 1967,30,San Marino,245994
