Rank,Player,Position,PositionDetail,RAV,MarketValue,Club,Age,Nationality,TransfermarktID
1,Gedson Fernandes,Midfielder,CM,50.5,€16.00m,Spartak Moscow,27,Portugal,337800
2,Félix Correia,Forward,LW,43.08,€10.00m,LOSC Lille,25,Portugal,479648
3,Aylton Boa Morte,Forward,RW,23.24,€900k,Khor Fakkan SSC,32,Portugal,352811
4,Ronaldo Lumungo,Forward,RW,18.66,€550k,FC Paços de Ferreira,25,Sao Tome and Principe,836182
5,Ivan Lima,Forward,LW,16.21,€350k,Piast Gliwice,21,Portugal,931416
6,Telmo Cardoso,Defender,CB,13.43,€200k,CF Esperança d'Andorra,24,Portugal,1474241
7,Pedro Mateus,Goalkeeper,GK,13.25,€201k,Karvan Yevlakh,29,Sao Tome and Principe,606038
8,Ricardo Fernandes,Defender,LB,12.2,€150k,FC Oliveira do Hospital,23,Sao Tome and Principe,830767
9,Paulo Lima,Midfielder,DM,11.83,€150k,SU 1º Dezembro,28,Sao Tome and Principe,435306
10,Gilson Costa,Defender,CB,10.37,€100k,Mosta FC,29,Portugal,290337
11,Rogério,Defender,RB,9.84,€75k,FC Oliveira do Hospital,23,Sao Tome and Principe,889683
12,Sérgio Malé,Forward,LW,9.82,€75k,CF Estrela Amadora U23,22,Sao Tome and Principe,1271379
13,Gilberto d'Almeida,Defender,CB,9.77,€75k,6 de Setembro,25,Sao Tome and Principe,1208675
14,Luís Costa,Midfielder,CM,9.68,€75k,SC Praia Cruz,26,Sao Tome and Principe,1208677
15,Nicola Bragança,Midfielder,CM,9.68,€75k,Juventude Évora SC,26,Sao Tome and Principe,1314684
16,Joel Neves,Midfielder,DM,9.41,€75k,Clube Oriental Lissabon,30,Sao Tome and Principe,588090
17,Yaniel Bonfim,Goalkeeper,GK,8.84,€50k,Celtic Castilla CF,22,Sao Tome and Principe,1271376
18,Winilson Lopes,Forward,RW,8.81,€50k,CD Santa Clara U23,19,Sao Tome and Principe,1302176
19,João Silva,Midfielder,AM,8.79,€50k,Hyde United,22,Sao Tome and Principe,1103352
20,Kelve Semedo,Forward,CF,8.78,€50k,CD Fátima,22,Sao Tome and Principe,1126756
21,Ricardo Cardoso,Forward,RW,8.78,€50k,US Affrico,24,Sao Tome and Principe,539505
22,Waldimison,Midfielder,DM,8.5,€50k,Associação Murteirense,29,Sao Tome and Principe,1387225
23,Vavá Pequeno,Defender,CB,8.4,€50k,GD Fabril Barreiro,32,Sao Tome and Principe,702883
24,Mauro Vilhete,Midfielder,RM,8.36,€50k,Hemel Hempstead Town,33,Sao Tome and Principe,134283
25,Feher Mendes,Goalkeeper,GK,7.49,€25k,SL Cartaxo,22,Sao Tome and Principe,998472
26,Gabriel Castro,Defender,CB,7.43,€25k,FC Jeunesse Canach,25,Portugal,665761
R1,Adjeil Neves,Forward,LW,8.5,€50k,Spartak Pleven,29,Sao Tome and Principe,842124
R2,Américo Neves,Midfielder,LM,6.38,€10k,BFC Dynamo,22,Portugal,1076073
