Rank,Player,Position,PositionDetail,RAV,MarketValue,Club,Age,Nationality,TransfermarktID
1,Taha Ali,Forward,LW,26.18,€1.50m,Malmö FF,28,Sweden,731771
2,Abdulaziz Noor,Forward,RW,16.63,€400k,NEOM SC,27,Saudi Arabia,1058345
3,Abdihakim Ali,Midfielder,CM,15.3,€300k,AIK,24,Sweden,963314
4,Bilal Hussein,Midfielder,CM,14.23,€250k,Degerfors IF,26,Sweden,448266
5,Bilal Njie,Forward,LW,14.05,€250k,KFUM-Kameratene Oslo,28,Somalia,503258
6,Faisal Othman,Defender,CB,13.03,€200k,Jeddah SC,29,Somalia,1097812
7,Nuurdin Ali Mohudin,Forward,CF,12.24,€150k,Varbergs BoIS,19,Sweden,1016316
8,Osman Abdi,Midfielder,CM,12.23,€150k,Young Violets Austria Wien,20,Somalia,915892
9,Hamse Shagaxle,Midfielder,CM,12.2,€150k,Spezia Calcio,21,Sweden,1013701
10,Handwalla Bwana,Forward,LW,11.89,€150k,Las Vegas Lights FC,27,Somalia,425824
11,Abdulsamed Abdullahi,Forward,LW,11.74,€150k,FK Novi Pazar,29,Somalia,462029
12,Aweys Adan Iman,Midfielder,AM,11.68,€150k,Dekedaha FC,31,Somalia,1306124
13,Ali Musse,Forward,RW,11.63,€150k,Cavalry FC,30,Somalia,294729
14,Saadiq Elmi,Defender,LB,11.43,€125k,Raufoss IL,25,Somalia,547198
15,Mohamed Omar,Midfielder,CM,11.23,€125k,Indy Eleven,27,Somalia,637715
16,Mohammed Mahammed,Midfielder,CM,11.15,€125k,Sandvikens IF,28,Sweden,889504
17,Abdulle Abdullahi,Defender,RB,10.8,€100k,Heegan FC,19,Somalia,1134160
18,Abdirahman Mamaan,Goalkeeper,GK,10.74,€100k,Dekedaha FC,25,Somalia,991063
19,Aydarus Abukar,Midfielder,DM,10.69,€100k,Örgryte IS,23,Somalia,792155
20,Yasir Sa'Ad,Forward,RW,10.68,€100k,Rana FK,24,Somalia,795920
21,Yonis Farah,Defender,LB,10.58,€100k,FC Prizreni,26,Somalia,580661
22,Mohamed Hassan Mohamed,Defender,CB,9.84,€75k,Portland Hearts of Pine,23,Somalia,1398231
23,Max'Med Omar Mohamed,Midfielder,CM,9.75,€75k,Landskrona BoIS,25,Sweden,1235163
24,Abdi Mohamed,Defender,RB,9.51,€75k,Without Club,29,Somalia,637318
25,Mohamud Ali,Defender,CB,9.4,€75k,Y Rhyl 1879,32,Somalia,713561
26,Abdi Salim,Defender,CB,8.74,€50k,Without Club,25,Somalia,1089575
R1,Abdi Sabriye,Forward,LW,10.68,€100k,Kalmar FF,24,Sweden,836892
R2,Mohamed Awad,Forward,RW,10.22,€100k,Sliema Wanderers,32,Somalia,205506
R3,Yusuf Ali Ahmed,Forward,CF,9.8,€75k,Eastern United FC,23,Somalia,1271178
R4,Farhan Mohamed Ahmed,Forward,CF,9.74,€75k,Heegan FC,25,Somalia,704947
R5,Bilal Habib,Forward,CF,9.74,€75k,Green Gully SC,25,Somalia,1111488
R6,Mohamed Ahmed Osman,Midfielder,CM,8.79,€50k,Gaadiidka FC,22,Somalia,1172830
R7,Ayuub Ahmed-Nur,Forward,RW,8.78,€50k,Sevlievo,24,Somalia,659065
R8,Marsis,Forward,RW,8.78,€50k,Mogadishu City Club,24,Somalia,1190539
R9,Ayman Mohamed Hussein,Defender,RB,8.74,€50k,Horseed SC,25,Somalia,991091
