Rank,Player,Position,PositionDetail,RAV,MarketValue,Club,Age,Nationality,TransfermarktID
1,Claudio Kammerknecht,Defender,CB,16.85,€400k,SG Dynamo Dresden,27,Sri Lanka,329360
2,Ranjan Neelakandan,Forward,CF,13.4,€200k,FC Vaduz,21,Switzerland,923434
3,Vimal Yoganathan,Midfielder,CM,12.87,€175k,Barnsley FC,20,Wales,1087487
4,Sam Durrant,Forward,LW,12.13,€150k,Karvan Yevlakh,24,Sri Lanka,593981
5,Garrett Kelly,Midfielder,CM,10.98,€125k,FK Alay Osh,30,Sri Lanka,559845
6,Ahmed Waseem Razeek,Forward,RW,10.23,€100k,Eastern District,31,Sri Lanka,124721
7,Zahi Addis,Defender,LB,9.85,€75k,Hume City FC,22,Sri Lanka,1069563
8,Oliver Kelaart,Forward,RW,9.54,€75k,Altona Magic SC,28,Sri Lanka,583720
9,Sujan Perera,Goalkeeper,GK,9.44,€75k,Fortis FC,33,Sri Lanka,189933
10,Wade Dekker,Forward,RW,9.37,€75k,Dandenong Thunder SC,32,Sri Lanka,339821
11,Rahul Suresh,Forward,RW,8.78,€50k,Dandenong Thunder SC,22,Sri Lanka,1106003
12,Manaram Perera,Defender,RB,8.57,€50k,Navy Sea Hawks FC,28,Sri Lanka,677850
13,Mohamed Hasmeer,Forward,LW,8.55,€50k,Navy Sea Hawks FC,28,Sri Lanka,898112
14,Chalana Chameera,Defender,CB,8.38,€50k,TC Sports Club,33,Sri Lanka,657170
15,Adhavan Rajamohan,Midfielder,AM,8.36,€50k,FC Järfälla,33,Sri Lanka,220458
16,William Thomason,Defender,RB,7.47,€25k,Olympic FC Brisbane,24,Sri Lanka,1119129
17,Niloshan Senthurvasan,Midfielder,CM,7.47,€25k,Drøbak-Frogn IL,24,Sri Lanka,912490
18,Aadil Kamaldeen,Midfielder,DM,7.47,€25k,Tupapa Maraerenga,24,Sri Lanka,1530110
19,Barath Suresh,Midfielder,DM,7.47,€25k,Langwarrin SC,23,Sri Lanka,987241
20,Dillon De Silva,Forward,RW,7.47,€25k,Maidenhead United,24,Sri Lanka,683855
21,Anujan Rajendram,Midfielder,CM,7.39,€25k,Vindbjart FK,26,Sri Lanka,547197
22,Aman Faizer,Midfielder,DM,7.35,€25k,Renown SC,27,Sri Lanka,705168
23,Kaveesh Lakpriya Fernando,Goalkeeper,GK,7.22,€25k,New Radiant SC,31,Sri Lanka,657684
24,Steven Sacayaradjy,Midfielder,DM,6.26,€10k,Without Club,29,Sri Lanka,1040925
