Rank,Player,Position,PositionDetail,RAV,MarketValue,Club,Age,Nationality,TransfermarktID
1,João Pedro,Forward,RW,13.01,€200k,Kuching City,28,Timor-Leste,632164
2,Gostavo,Midfielder,RM,11.5,€125k,Tanjong Pagar United,21,Timor-Leste,964141
3,Flabio Soares,Forward,RW,9.61,€75k,Deltras FC,27,Indonesia,1039723
4,Pedro Henrique,Forward,CF,9.32,€75k,Police Tero FC,34,Timor-Leste,441741
5,Junildo,Goalkeeper,GK,8.83,€50k,Karketu Dili FC,23,Timor-Leste,964138
6,Ryan Harris Jom,Defender,LB,8.81,€50k,Rydalmere Lions FC,21,Timor-Leste,996279
7,Jackson Pereira,Defender,CB,8.8,€50k,Valentine Phoenix FC,22,Timor-Leste,1169797
8,Liam Farrugia,Defender,LB,8.8,€50k,Manningham United FC,23,Timor-Leste,1238528
9,Jhon Frith,Midfielder,CM,8.78,€50k,SLB Laulara,23,Timor-Leste,964139
10,João Panji,Defender,CB,8.74,€50k,Craigieburn City FC,25,Timor-Leste,583380
11,Dylan Niski,Goalkeeper,GK,8.72,€50k,Western City Rangers FC,26,Timor-Leste,1109997
12,Zion Cruz,Forward,SS,8.72,€50k,Lusitano Vildemoinhos,25,Timor-Leste,1190320
13,Santiago da Costa,Midfielder,CM,8.61,€50k,Karketu Dili FC,27,Timor-Leste,750039
14,Georgino,Goalkeeper,GK,7.49,€25k,Coração FC,24,Timor-Leste,964137
15,Tristan Arrarte,Midfielder,AM,7.49,€25k,Western Sydney Wanderers II,17,Timor-Leste,1380345
16,Vabio Canavaro,Forward,LW,7.48,€25k,Tanjong Pagar United,19,Timor-Leste,1283395
17,Corsino Lemos,Forward,ST,7.48,€25k,Karketu Dili FC,20,Timor-Leste,1135422
18,Eric Tam Silva,Defender,CB,7.47,€25k,GD Sesimbra,24,Timor-Leste,1531863
19,Anizo Correia,Defender,CB,7.47,€25k,AD San Antonio,23,Timor-Leste,964140
20,Apika,Defender,CB,7.47,€25k,Assalam Sport Club,23,Timor-Leste,1329589
21,Luís Figo,Forward,LW,7.47,€25k,AD San Antonio,21,Timor-Leste,1135423
22,João Rangel,Midfielder,RM,7.47,€25k,Leiston FC,24,Timor-Leste,804335
23,Claudio Osorio,Midfielder,AM,7.47,€25k,Cobh Ramblers FC,23,Timor-Leste,503985
24,Mouzinho,Forward,CF,7.47,€25k,SLB Laulara,24,Timor-Leste,677987
25,Filomeno,Defender,CB,7.31,€25k,SLB Laulara,28,Timor-Leste,605602
26,Ricardo Rorinho,Defender,LB,6.38,€10k,AS Ponta Leste,20,Timor-Leste,1030878
R1,Olagar Xavier,Forward,CF,7.47,€25k,AD San Antonio,23,Timor-Leste,978049
R2,Oatnasio Da Silva Guterres,Defender,RB,6.38,€10k,Portadown FC U21,20,Timor-Leste,1214066
R3,Marques de Carvalho,Midfielder,LM,6.38,€10k,SLB Laulara,19,Timor-Leste,1172936
R4,Mario Quintao,Defender,LB,6.38,€10k,Santa Cruz FC,22,Timor-Leste,1003798
R5,Lima Quintão,Defender,RB,6.38,€10k,Emmanuel FC,23,Timor-Leste,1312189
R6,Freteliano,Midfielder,DM,6.38,€10k,Santa Cruz FC,21,Timor-Leste,1030888
R7,Natalino,Goalkeeper,GK,6.36,€10k,AS Ponta Leste,25,Timor-Leste,678000
R8,Kornelis Nahak,Midfielder,CM,6.35,€10k,SLB Laulara,25,Timor-Leste,635942
R9,Nelson Viegas,Defender,RB,6.33,€10k,Karketu Dili FC,26,Timor-Leste,440504
