DraftPick,FIFA_Rank,Team,Points,Category,Status
1,211,San Marino,721.2,FIFA member,Done - Full squad
2,210,Anguilla,760.25,FIFA member,Done - Thin pool (0 players)
3,209,British Virgin Islands,777.41,FIFA member,Done - Thin pool (0 players)
4,208,US Virgin Islands,779.76,FIFA member,Done - Thin pool (1 player)
5,207,Bahamas,786.82,FIFA member,Done - Thin pool (0 players)
6,206,Liechtenstein,797.7,FIFA member,Done - Thin pool (11 players)
7,205,Turks and Caicos Islands,803.98,FIFA member,Done - Thin pool (1 player)
8,204,Seychelles,804.16,FIFA member,Done - Thin pool (22 players)
9,203,Guam,819.54,FIFA member,Done - Thin pool (17 players)
10,202,Gibraltar,820.26,FIFA member,Done - Full squad
11,201,Timor-Leste,831.0,FIFA member,Done - Full squad
12,200,Tonga,835.64,FIFA member,Done - Thin pool (2 players)
13,199,Somalia,839.17,FIFA member,Done - Full squad (only 1 GK available)
14,198,Pakistan,840.28,FIFA member,Done - Full squad
15,197,Cayman Islands,850.06,FIFA member,Done - Thin pool (2 players)
16,196,Djibouti,853.58,FIFA member,Done - Thin pool (20 players)
17,195,São Tomé and Príncipe,855.44,FIFA member,Done - Full squad
18,194,Brunei Darussalam,857.73,FIFA member,Done - Full squad
19,193,Macau,858.03,FIFA member,Done - Thin pool (22 players)
20,192,Bhutan,870.81,FIFA member,"Done - Full squad (only 24 players, short of 26)"
21,191,American Samoa,871.61,FIFA member,Done - Thin pool (0 players)
22,190,Mongolia,874.47,FIFA member,Done - Thin pool (23 players)
23,189,Aruba,875.61,FIFA member,Done - Thin pool (2 players)
24,188,Samoa,876.41,FIFA member,Done - Thin pool (9 players)
25,187,Sri Lanka,876.86,FIFA member,"Done - Full squad (only 24 players, short of 26)"
26,186,Cook Islands,877.53,FIFA member,Done - Thin pool (6 players)
27,185,Laos,885.03,FIFA member,Done - Full squad
28,184,Eritrea,887.06,FIFA member,"Done - Thin pool (20 players, incl. Alexander Isak RAV 68.28)"
29,183,Chad,896.85,FIFA member,Done - Full squad (0 valued goalkeepers available)
30,182,Dominica,897.69,FIFA member,Done - Thin pool (4 players)
31,181,Bangladesh,902.93,FIFA member,Done - Full squad
32,180,Belize,907.0,FIFA member,Done - Thin pool (5 players)
33,179,Barbados,909.89,FIFA member,"Done - Thin pool (11 players, incl. Myles Lewis-Skelly RAV 64.55, Arsenal FC, England/Barbados dual)"
34,178,Mauritius,911.49,FIFA member,"Done - Thin pool (18 players, incl. Marli Salmon RAV 40.77, Arsenal FC U21, England/Mauritius dual)"
35,177,Nepal,914.54,FIFA member,Done - Thin pool (24 players)
36,176,Montserrat,916.75,FIFA member,"Done - Thin pool (8 players, incl. Joe Willock, Newcastle United, England/Montserrat dual)"
37,175,Cambodia,922.32,FIFA member,Done - Full squad
38,174,Taiwan,923.78,FIFA member,Done - Full squad
39,173,Maldives,943.92,FIFA member,Done - Full squad
40,172,Andorra,946.43,FIFA member,Done - Full squad
41,171,Afghanistan,968.07,FIFA member,"Done - Full squad (incl. Jusef Erabi RAV 27.88, Preston North End, Sweden/Afghanistan dual)"
42,170,St Vincent and the Grenadines,968.27,FIFA member,"Done - Thin pool (7 players, incl. Jesse Lingard, Corinthians, England/St. Vincent dual)"
43,169,South Sudan,970.94,FIFA member,"Done - Full squad (incl. Victor Loturi RAV 24.22 and Garang Kuol RAV 23.02, Australia/Canada dual nationals)"
44,168,Papua New Guinea,974.9,FIFA member,
45,167,Bermuda,975.05,FIFA member,
46,166,St Lucia,976.71,FIFA member,
47,165,Eswatini,979.01,FIFA member,
48,164,Cuba,981.42,FIFA member,
49,163,Grenada,981.82,FIFA member,
50,162,Antigua and Barbuda,986.58,FIFA member,
51,161,Malta,992.79,FIFA member,
52,160,Vanuatu,1002.53,FIFA member,
53,159,Moldova,1008.24,FIFA member,
54,158,Myanmar,1010.91,FIFA member,
55,157,Tahiti,1019.04,FIFA member,
56,156,"Hong Kong, China",1024.16,FIFA member,
57,155,Fiji,1024.17,FIFA member,
58,154,Puerto Rico,1024.3,FIFA member,
59,153,Solomon Islands,1031.89,FIFA member,
60,152,St Kitts and Nevis,1036.33,FIFA member,
61,151,New Caledonia,1036.95,FIFA member,
62,150,Guyana,1049.32,FIFA member,
63,149,Lithuania,1056.85,FIFA member,
64,148,Singapore,1057.95,FIFA member,
65,147,Botswana,1063.63,FIFA member,
66,146,Lesotho,1064.29,FIFA member,
67,145,Yemen,1065.24,FIFA member,
68,144,Dominican Republic,1076.5,FIFA member,
69,143,Ethiopia,1077.52,FIFA member,
70,142,Burundi,1078.01,FIFA member,
71,141,Turkmenistan,1078.65,FIFA member,
