Nation,FIFA_Rank,NationID,DraftOrder
Afghanistan,171,1,41
Albania,67,2,145
Algeria,29,3,183
American Samoa,191,4,21
American Virgin Islands,208,5,4
Andorra,172,6,40
Angola,87,7,125
Anguilla,210,8,2
Antigua and Barbuda,162,9,50
Argentina,2,10,210
Armenia,107,11,105
Aruba,189,12,23
Australia,28,13,184
Austria,23,14,189
Azerbaijan,126,15,86
Bahamas,207,16,5
Bahrain,92,17,120
Bangladesh,181,18,31
Barbados,179,19,33
Belarus,96,20,116
Belgium,8,21,204
Belize,180,22,32
Benin,93,23,119
Bermuda,167,24,45
Bhutan,192,25,20
Bolivia,77,26,135
Bonaire,NR,27,NR
Bosnia-Herzegovina,61,28,151
Botswana,147,29,65
Brazil,5,30,207
British India,NR,31,NR
British Virgin Islands,209,32,3
Brunei Darussalam,194,33,18
Bulgaria,85,34,127
Burkina Faso,62,35,150
Burundi,142,36,70
Cambodia,175,37,37
Cameroon,43,38,169
Canada,30,39,182
Cape Verde,64,40,148
Cayman Islands,197,41,15
Central African Republic,139,42,73
Chad,183,43,29
Chile,49,44,163
China,91,45,121
Taiwan,174,46,38
Christmas Island,NR,47,NR
Colombia,11,48,201
Comoros,108,49,104
Congo,134,50,78
Cookinseln,186,51,26
Costa Rica,51,52,161
Cote d'Ivoire,31,53,181
Crimea,NR,54,NR
Croatia,13,55,199
CSSR,NR,56,NR
Cuba,164,57,48
Curacao,82,58,130
Cyprus,124,59,88
Czech Republic,48,60,164
Denmark,21,61,191
Djibouti,196,62,16
Dominica,182,63,30
Dominican Republic,144,64,68
DR Congo,41,65,171
East Germany (GDR),NR,66,NR
Ecuador,25,67,187
Egypt,24,68,188
El Salvador,100,69,112
England,4,70,208
Equatorial Guinea,105,71,107
Eritrea,184,72,28
Estonia,127,73,85
Eswatini,165,74,47
Ethiopia,143,75,69
Falkland Islands,NR,76,NR
Faroe Islands,123,77,89
Federated States of Micronesia,NR,78,NR
Fiji,155,79,57
Finland,75,80,137
France,1,81,211
French Guiana,NR,82,NR
Gabon,84,83,128
Georgia,72,84,140
Germany,12,85,200
Ghana,65,86,147
Gibraltar,202,87,10
Greece,46,88,166
Greenland,NR,89,NR
Grenada,163,90,49
