Country,Player,Position,PositionDetail,RAV,MarketValue,Club,Age,Nationality,Second Nationality,TransfermarktID
US Virgin Islands,Joshua Ramos,Midfielder,RM,11.3,€125k,Chattanooga Red Wolves SC,26,American Virgin Islands,United States,724398
Liechtenstein,Justin Ospelt,Goalkeeper,GK,12.18,€150k,Sportfreunde Siegen,26,Liechtenstein,Bahamas,405831
Liechtenstein,Lars Traber,Defender,CB,12.05,€150k,SC Brühl SG,26,Liechtenstein,,521438
Liechtenstein,Alessio Hasler,Midfielder,LM,10.72,€100k,FC Vaduz,21,Liechtenstein,,692101
Liechtenstein,Simon Lüchinger,Midfielder,CM,9.81,€75k,Schwarz-Weiß Bregenz,23,Liechtenstein,Switzerland,66709
Liechtenstein,Dennis Salanović,Forward,LW,9.4,€75k,FC Linth 04,30,Liechtenstein,Bosnia-Herzegovina,294742
Liechtenstein,Fabio Luque-Notaro,Forward,CF,9.84,€75k,1.FC Schweinfurt 05,20,Liechtenstein,Spain,692103
Liechtenstein,Benjamin Büchel,Goalkeeper,GK,8.28,€50k,FC Vaduz,37,Liechtenstein,,66708
Liechtenstein,Marcel Büchel,Midfielder,DM,8.3,€50k,Unipomezia Virtus,35,Liechtenstein,Austria,74956
Liechtenstein,Nicolas Hasler,Midfielder,CM,8.3,€50k,FC Vaduz,35,Liechtenstein,,114038
Liechtenstein,Tim-Tiado Oehri,Goalkeeper,GK,8.84,€50k,FC Vaduz,22,Liechtenstein,,606968
Liechtenstein,Felix Oberwaditzer,Defender,CB,7.48,€25k,SC Austria Lustenau II,20,Liechtenstein,Austria,842193
Turks and Caicos Islands,Billy Forbes,Forward,CF,8.3,€50k,SWA Sharks FC,35,Turks and Caicos Islands,,78283
Seychelles,Warren Mellie,Defender,CB,9.42,€75k,Real Maldive FC,31,Seychelles,,513484
Seychelles,Johan Gamatice,Midfielder,CM,9.61,€75k,Côte d'Or FC,27,Seychelles,,1272450
Seychelles,Markus Payet,Defender,CB,9.86,€75k,La Passe FC,21,Seychelles,,1175025
Seychelles,Makan Bristol-Cissoko,Defender,LB,8.82,€50k,Foresters Mont Fleuri,20,Seychelles,,1205603
Seychelles,Samuel Okolie,Forward,CF,8.81,€50k,Without ClubWithout Club,18,Seychelles,Australia,1454384
Seychelles,Justin Elisha Riaz,Defender,RB,8.8,€50k,St. Louis Suns United,23,Seychelles,,1454383
Seychelles,Alfie Walters,Defender,CB,8.8,€50k,Metropolitan Police,23,Seychelles,England,1384976
Seychelles,Riano Denis,Midfielder,CM,8.82,€50k,Foresters Mont Fleuri,18,Seychelles,,1306137
Seychelles,Charmaine Häusl,Defender,CB,8.45,€50k,BFC Preussen,30,Seychelles,Germany,196831
Seychelles,Anil Dijoux,Midfielder,CM,8.81,€50k,Anse Reunion FC,19,Seychelles,,1272439
Seychelles,Elie Sopha,Defender,CB,8.81,€50k,St. Michel United Anse-aux-Pins,21,Seychelles,,1272436
Seychelles,Vince Fred,Midfielder,CM,8.8,€50k,Light Stars FC,20,Seychelles,,1272435
Seychelles,Dean Mothe,Forward,RW,8.72,€50k,St. Louis Suns United,25,Seychelles,,703199
Seychelles,Carlos Simeon,Goalkeeper,GK,8.66,€50k,Anse Reunion FC,27,Seychelles,England,1205593
Seychelles,Don Fanchette,Defender,CB,8.57,€50k,Anse Reunion FC,28,Seychelles,,633924
Seychelles,Imra Raheriniaina,Midfielder,CM,8.8,€50k,St. Louis Suns United,21,Seychelles,,947907
Seychelles,Lorenzo Hoareau,Forward,RW,8.81,€50k,Anse Reunion FC,19,Seychelles,,947879
Seychelles,Ryan Henriette,Forward,ST,8.66,€50k,Anse Reunion FC,26,Seychelles,,947856
Seychelles,Tyrone Cadeau,Midfielder,DM,8.79,€50k,Hanley Town,22,Seychelles,Wales,930775
Seychelles,Josip Ravighia,Midfielder,CM,8.72,€50k,St. Michel United Anse-aux-Pins,25,Seychelles,,703203
